,date,code,open,close,high,low,adjust_open,adjust_close,adjust_high,adjust_low,volume,turnover
0,2016-01-04,600048,10.63,9.63,10.65,9.58,181.66,165.84,181.98,165.05,997359,0.93
1,2016-01-05,600048,9.35,9.86,10.03,9.25,161.41,169.48,172.17,159.83,1475344,1.37
2,2016-01-06,600048,9.82,10.01,10.06,9.67,168.85,171.85,172.64,166.47,834874,0.78
3,2016-01-07,600048,9.87,9.07,9.87,9.03,169.64,156.98,169.64,156.35,197016,0.18
4,2016-01-08,600048,9.33,9.49,9.73,9.03,161.1,163.63,167.42,156.35,1365459,1.27
5,2016-01-11,600048,9.32,8.84,9.51,8.71,160.94,153.35,163.94,151.29,1109568,1.03
6,2016-01-12,600048,8.89,8.99,9.27,8.73,154.14,155.72,160.15,151.61,908443,0.84
7,2016-01-13,600048,9.02,8.87,9.35,8.8,156.19,153.82,161.41,152.71,834199,0.78
8,2016-01-14,600048,8.68,9.14,9.18,8.47,150.81,158.09,158.72,147.49,871820,0.81
9,2016-01-15,600048,9.02,8.59,9.09,8.48,156.19,149.39,157.3,147.65,932799,0.87
10,2016-01-18,600048,8.45,8.61,8.77,8.4,147.18,149.71,152.24,146.39,476751,0.44
11,2016-01-19,600048,8.62,9.36,9.47,8.55,149.87,161.57,163.31,148.76,1458333,1.36
12,2016-01-20,600048,9.21,8.95,9.35,8.87,159.2,155.09,161.41,153.82,975445,0.91
13,2016-01-21,600048,8.85,8.81,9.21,8.73,153.5,152.87,159.2,151.61,649063,0.6
14,2016-01-22,600048,8.9,9.01,9.08,8.8,154.29,156.03,157.14,152.71,570344,0.53
15,2016-01-25,600048,9.02,9.11,9.22,8.97,156.19,157.62,159.36,155.4,536430,0.5
16,2016-01-26,600048,9.01,8.52,9.3,8.41,156.03,148.28,160.62,146.54,867636,0.81
17,2016-01-27,600048,8.62,8.75,8.92,8.42,149.87,151.92,154.61,146.7,935532,0.87
18,2016-01-28,600048,8.66,8.37,8.87,8.34,150.5,145.91,153.82,145.44,617197,0.57
19,2016-01-29,600048,8.4,8.71,8.82,8.39,146.39,151.29,153.03,146.23,569227,0.53
20,2016-02-01,600048,8.73,8.6,8.79,8.37,151.61,149.55,152.55,145.91,464262,0.43
21,2016-02-02,600048,8.6,9.04,9.24,8.55,149.55,156.51,159.67,148.76,925311,0.86
22,2016-02-03,600048,9.07,9.14,9.38,8.88,156.98,158.09,161.89,153.98,1290089,1.2
23,2016-02-04,600048,9.06,9.08,9.2,8.96,156.83,157.14,159.04,155.24,965403,0.9
24,2016-02-05,600048,9.13,9.0,9.17,8.99,157.93,155.88,158.57,155.72,554373,0.52
25,2016-02-15,600048,8.7,8.81,8.87,8.64,151.13,152.87,153.82,150.18,766792,0.71
26,2016-02-16,600048,8.86,9.05,9.11,8.8,153.66,156.67,157.62,152.71,740476,0.69
27,2016-02-17,600048,9.03,9.08,9.08,8.9,156.35,157.14,157.14,154.29,975843,0.91
28,2016-02-18,600048,9.15,9.2,9.48,9.07,158.25,159.04,163.47,156.98,1097629,1.02
29,2016-02-19,600048,9.14,9.05,9.21,8.94,158.09,156.67,159.2,154.93,713907,0.66
30,2016-02-22,600048,9.28,9.35,9.5,9.25,160.31,161.41,163.79,159.83,1236350,1.15
31,2016-02-23,600048,9.34,9.35,9.49,9.19,161.25,161.41,163.63,158.88,715840,0.67
32,2016-02-24,600048,9.34,9.38,9.4,9.18,161.25,161.89,162.2,158.72,513718,0.48
33,2016-02-25,600048,9.36,8.7,9.36,8.57,161.57,151.13,161.57,149.07,809549,0.75
34,2016-02-26,600048,8.76,8.8,8.84,8.58,152.08,152.71,153.35,149.23,515942,0.48
35,2016-02-29,600048,9.05,9.08,9.26,8.73,156.67,157.14,159.99,151.61,1473645,1.37
36,2016-03-01,600048,9.18,9.48,9.97,9.07,158.72,163.47,171.22,156.98,1984262,1.84
37,2016-03-02,600048,9.45,10.43,10.43,9.42,162.99,178.5,178.5,162.52,2680545,2.49
38,2016-03-03,600048,10.99,10.35,11.1,10.3,187.36,177.23,189.1,176.44,4543781,4.22
39,2016-03-04,600048,10.26,10.27,10.61,10.03,175.81,175.97,181.34,172.17,2792795,2.6
40,2016-03-07,600048,10.38,10.18,10.57,10.05,177.71,174.54,180.71,172.49,1649498,1.53
41,2016-03-08,600048,10.26,10.06,10.27,9.58,175.81,172.64,175.97,165.05,1539142,1.43
42,2016-03-09,600048,9.79,9.88,9.94,9.58,168.37,169.8,170.75,165.05,1275325,1.19
43,2016-03-10,600048,9.76,9.46,9.83,9.45,167.9,163.15,169.01,162.99,937053,0.87
44,2016-03-11,600048,9.37,9.35,9.38,9.11,161.73,161.41,161.89,157.62,874790,0.81
45,2016-03-14,600048,9.42,9.59,9.79,9.42,162.52,165.21,168.37,162.52,1073219,1.0
46,2016-03-15,600048,9.57,9.72,9.79,9.17,164.89,167.27,168.37,158.57,1926904,1.79
47,2016-03-16,600048,9.51,9.65,9.79,9.4,163.94,166.16,168.37,162.2,1760991,1.64
48,2016-03-17,600048,9.65,9.69,9.77,9.42,166.16,166.79,168.06,162.52,1155971,1.07
49,2016-03-18,600048,9.67,9.8,10.07,9.66,166.47,168.53,172.8,166.32,1821802,1.69
50,2016-03-21,600048,9.87,10.01,10.07,9.8,169.64,171.85,172.8,168.53,1562607,1.45
51,2016-03-22,600048,9.9,9.82,9.99,9.8,170.11,168.85,171.54,168.53,1067969,0.99
52,2016-03-23,600048,9.77,9.72,9.83,9.6,168.06,167.27,169.01,165.37,981837,0.91
53,2016-03-24,600048,9.61,9.55,9.77,9.51,165.53,164.58,168.06,163.94,884232,0.82
54,2016-03-25,600048,9.57,9.61,9.72,9.54,164.89,165.53,167.27,164.42,557727,0.52
55,2016-03-28,600048,9.58,9.37,9.65,9.32,165.05,161.73,166.16,160.94,985402,0.92
56,2016-03-29,600048,9.33,9.13,9.35,9.08,161.1,157.93,161.41,157.14,824564,0.77
57,2016-03-30,600048,9.18,9.39,9.45,9.16,158.72,162.05,162.99,158.41,785288,0.73
58,2016-03-31,600048,9.45,9.28,9.46,9.25,162.99,160.31,163.15,159.83,720701,0.67
59,2016-04-01,600048,9.31,9.32,9.37,9.12,160.78,160.94,161.73,157.77,651789,0.61
60,2016-04-05,600048,9.29,9.46,9.55,9.27,160.46,163.15,164.58,160.15,817991,0.76
61,2016-04-06,600048,9.46,9.45,9.48,9.36,163.15,162.99,163.47,161.57,599426,0.56
