,date,open,high,low,close,volume,adjust_close
0,2007-11-08,75.25,88.6,75.25,79.5,26400.0,79.5
1,2007-11-09,82.2,87.61,76.78,81.94,35700.0,81.94
2,2007-11-12,88.38,94.28,85.23,93.0,39000.0,93.0
3,2007-11-13,85.57,86.05,76.02,77.85,57900.0,77.85
4,2007-11-14,69.67,75.86,69.3,74.4,51900.0,74.4
5,2007-11-15,78.39,81.0,75.52,76.8,55200.0,76.8
6,2007-11-16,80.99,84.75,79.19,80.53,47700.0,80.53
7,2007-11-19,85.36,90.9,85.11,89.98,62600.0,89.98
8,2007-11-20,82.97,87.45,79.01,81.2,95900.0,81.2
9,2007-11-21,90.13,93.0,87.36,91.25,90900.0,91.25
10,2007-11-23,87.4,88.8,85.0,85.66,29700.0,85.66
11,2007-11-26,80.5,89.75,79.94,89.75,105600.0,89.75
12,2007-11-27,84.02,88.24,80.63,80.73,121500.0,80.73
13,2007-11-28,78.0,80.22,69.82,71.01,118600.0,71.01
14,2007-11-29,72.5,73.11,69.41,71.73,60900.0,71.73
15,2007-11-30,67.02,71.74,66.47,70.52,60600.0,70.52
16,2007-12-03,71.01,73.44,71.01,72.69,47000.0,72.69
17,2007-12-04,72.68,73.95,71.0,72.1,38600.0,72.1
18,2007-12-05,66.65,67.3,63.7,63.7,85000.0,63.7
19,2007-12-06,65.26,66.0,61.74,62.1,55100.0,62.1
20,2007-12-07,65.57,66.82,64.51,66.62,46500.0,66.62
21,2007-12-10,68.47,68.68,66.71,67.25,33800.0,67.25
22,2007-12-11,66.72,73.99,66.72,73.65,60400.0,73.65
23,2007-12-12,68.2,74.21,67.0,70.88,76300.0,70.88
24,2007-12-13,75.88,78.14,73.5,75.42,107600.0,75.42
25,2007-12-14,79.53,79.99,77.34,79.78,58500.0,79.78
26,2007-12-17,84.6,88.99,83.19,88.99,80000.0,88.99
27,2007-12-18,82.5,87.43,80.6,80.6,93300.0,80.6
28,2007-12-19,80.05,80.64,75.92,79.4,98700.0,79.4
29,2007-12-20,76.87,81.31,76.8,77.56,38400.0,77.56
30,2007-12-21,74.66,75.69,73.0,73.62,37600.0,73.62
31,2007-12-24,71.01,72.88,70.1,70.3,20800.0,70.3
32,2007-12-26,71.3,72.01,69.5,70.36,24700.0,70.36
33,2007-12-27,72.01,75.49,71.85,75.27,42600.0,75.27
34,2007-12-28,74.11,76.5,73.58,75.49,25800.0,75.49
35,2007-12-31,72.9,77.08,72.9,76.87,31800.0,76.87
36,2008-01-02,75.77,79.7,74.52,78.99,70700.0,78.99
37,2008-01-03,78.61,80.46,77.7,80.1,45200.0,80.1
38,2008-01-04,79.49,83.65,79.49,82.51,125500.0,82.51
39,2008-01-07,79.53,82.35,78.0,78.79,97700.0,78.79
40,2008-01-08,76.86,81.1,74.61,80.62,105000.0,80.62
41,2008-01-09,75.45,77.05,70.22,70.3,196700.0,70.3
42,2008-01-10,73.85,73.85,67.43,69.22,118500.0,69.22
43,2008-01-11,73.0,75.08,71.91,74.25,83000.0,74.25
44,2008-01-14,75.0,76.24,74.01,74.54,46700.0,74.54
45,2008-01-15,82.03,86.46,81.02,86.39,164600.0,86.39
46,2008-01-16,90.0,97.69,88.5,92.0,224900.0,92.0
47,2008-01-17,88.45,96.5,85.51,95.8,224300.0,95.8
48,2008-01-18,86.15,92.5,84.5,87.0,214000.0,87.0
