,date,open,high,low,close,volume,adjust_close
0,2009-06-04,59.33,60.39,59.33,60.0,5700.0,60.0
1,2009-06-05,63.32,63.32,59.73,61.22,110200.0,61.22
2,2009-06-08,60.22,60.22,57.5,59.38,17900.0,59.38
3,2009-06-09,58.38,58.84,57.22,58.46,24500.0,58.46
4,2009-06-10,62.99,63.11,59.99,61.44,103400.0,61.44
5,2009-06-11,63.41,66.51,63.41,64.96,77700.0,64.96
6,2009-06-12,62.59,63.13,61.77,63.13,46500.0,63.13
7,2009-06-15,59.96,59.98,57.25,58.64,50800.0,58.64
8,2009-06-16,57.99,58.52,54.93,55.4,30600.0,55.4
9,2009-06-17,55.22,56.41,54.13,55.75,21400.0,55.75
10,2009-06-18,55.28,56.13,53.96,55.3,34100.0,55.3
11,2009-06-19,56.4,56.56,55.3,55.63,31400.0,55.63
12,2009-06-22,54.8,55.48,52.6,53.14,76800.0,53.14
13,2009-06-23,52.74,53.14,50.9,52.18,24300.0,52.18
14,2009-06-24,55.98,57.19,55.0,55.46,80600.0,55.46
15,2009-06-25,55.61,58.57,55.11,58.42,49400.0,58.42
16,2009-06-26,59.68,60.27,58.87,60.07,45800.0,60.07
17,2009-06-29,60.69,61.5,59.74,60.98,30300.0,60.98
18,2009-06-30,60.24,60.32,58.25,59.76,28300.0,59.76
19,2009-07-01,61.63,62.37,60.89,60.89,32900.0,60.89
20,2009-07-02,57.86,57.96,56.6,56.99,42700.0,56.99
21,2009-07-06,57.31,59.25,56.65,59.22,22700.0,59.22
22,2009-07-07,57.38,57.38,54.79,54.9,28100.0,54.9
23,2009-07-08,55.07,55.68,52.0,54.17,38900.0,54.17
24,2009-07-09,56.41,56.73,55.32,56.25,30200.0,56.25
25,2009-07-10,55.05,55.71,53.82,54.99,18200.0,54.99
26,2009-07-13,53.53,54.94,51.68,54.62,36700.0,54.62
27,2009-07-14,56.68,57.01,56.07,56.64,22600.0,56.64
28,2009-07-15,59.19,61.94,59.19,61.55,40400.0,61.55
29,2009-07-16,59.97,61.57,59.64,60.8,22100.0,60.8
30,2009-07-17,62.01,63.09,61.55,62.65,37100.0,62.65
31,2009-07-20,67.1,67.99,66.36,67.5,94300.0,67.5
32,2009-07-21,67.88,68.04,64.89,66.87,48600.0,66.87
33,2009-07-22,64.93,66.99,64.74,65.98,22400.0,65.98
34,2009-07-23,68.4,72.38,68.24,71.45,111400.0,71.45
35,2009-07-24,70.48,72.15,69.81,72.15,57500.0,72.15
36,2009-07-27,72.63,73.77,71.5,73.39,52300.0,73.39
37,2009-07-28,73.68,74.39,71.8,73.9,56400.0,73.9
38,2009-07-29,69.93,70.18,67.25,68.68,108300.0,68.68
39,2009-07-30,71.33,72.94,71.0,71.0,62300.0,71.0
40,2009-07-31,70.88,71.63,69.68,70.92,63300.0,70.92
41,2009-08-03,75.06,76.7,74.34,76.29,59800.0,76.29
42,2009-08-04,72.55,74.65,72.54,73.84,56700.0,73.84
43,2009-08-05,71.66,71.93,68.55,70.34,83500.0,70.34
44,2009-08-06,72.21,72.6,69.42,70.7,45700.0,70.7
45,2009-08-07,70.35,71.29,68.8,70.36,56700.0,70.36
46,2009-08-10,70.74,71.87,69.34,70.66,29300.0,70.66
47,2009-08-11,70.73,70.88,67.75,68.92,26800.0,68.92
48,2009-08-12,68.14,70.42,67.87,69.39,39800.0,69.39
49,2009-08-13,70.39,70.84,68.64,70.1,39400.0,70.1
50,2009-08-14,70.14,70.14,66.6,67.75,41100.0,67.75
51,2009-08-17,62.84,62.84,60.56,61.43,81200.0,61.43
52,2009-08-18,63.2,64.62,62.82,64.11,54700.0,64.11
53,2009-08-19,61.49,64.54,61.36,64.33,53200.0,64.33
54,2009-08-20,65.11,66.45,64.82,66.21,46600.0,66.21
55,2009-08-21,65.82,66.8,64.74,66.77,64200.0,66.77
56,2009-08-24,67.17,67.64,65.32,65.81,55500.0,65.81
57,2009-08-25,66.94,67.18,65.64,65.86,19400.0,65.86
58,2009-08-26,65.29,65.97,64.69,65.04,23100.0,65.04
59,2009-08-27,64.79,65.42,63.13,65.24,31000.0,65.24
60,2009-08-28,65.29,65.51,63.33,63.71,16300.0,63.71
61,2009-08-31,61.11,62.33,60.91,62.09,39300.0,62.09
62,2009-09-01,61.66,62.95,58.9,59.06,37600.0,59.06
63,2009-09-02,59.99,61.17,59.73,60.24,31300.0,60.24
64,2009-09-03,63.0,63.09,61.42,63.09,50400.0,63.09
65,2009-09-04,66.19,67.87,65.53,67.56,65200.0,67.56
66,2009-09-08,72.03,72.24,70.73,71.79,39100.0,71.79
67,2009-09-09,70.71,71.7,70.12,71.18,31500.0,71.18
68,2009-09-10,71.53,72.64,70.26,72.48,52100.0,72.48
69,2009-09-11,73.34,73.34,71.59,71.94,17000.0,71.94
70,2009-09-14,70.14,72.54,70.0,72.14,34700.0,72.14
71,2009-09-15,71.26,72.06,70.8,71.91,14400.0,71.91
72,2009-09-16,74.57,76.75,74.12,76.7,67400.0,76.7
73,2009-09-17,76.5,77.82,75.4,75.9,28500.0,75.9
74,2009-09-18,76.49,76.54,74.97,75.34,27800.0,75.34
75,2009-09-21,72.94,73.5,71.85,73.05,49200.0,73.05
76,2009-09-22,74.41,74.9,73.6,74.53,21000.0,74.53
77,2009-09-23,73.64,74.22,71.5,71.66,31200.0,71.66
78,2009-09-24,69.94,70.4,66.5,67.75,58700.0,67.75
79,2009-09-25,68.05,69.24,67.14,68.05,39400.0,68.05
80,2009-09-28,67.01,69.15,66.8,68.42,79000.0,68.42
81,2009-09-29,68.64,69.37,67.66,68.44,35100.0,68.44
82,2009-09-30,67.61,67.9,64.98,66.92,62200.0,66.92
83,2009-10-01,66.78,66.78,62.69,62.85,70700.0,62.85
84,2009-10-02,61.32,63.1,60.98,62.32,73700.0,62.32
85,2009-10-05,64.2,66.25,63.54,65.29,45100.0,65.29
86,2009-10-06,68.28,70.07,68.0,68.64,58200.0,68.64
87,2009-10-07,70.11,70.81,69.85,70.31,70400.0,70.31
88,2009-10-08,72.88,73.57,71.99,72.78,65200.0,72.78
89,2009-10-09,72.97,73.6,72.61,73.26,24000.0,73.26
90,2009-10-12,72.7,73.11,71.59,71.82,34600.0,71.82
91,2009-10-13,72.43,73.0,71.4,72.79,30200.0,72.79
92,2009-10-14,76.35,78.0,76.17,77.88,91500.0,77.88
93,2009-10-15,76.29,77.7,76.29,77.59,25800.0,77.59
94,2009-10-16,74.81,74.93,73.64,74.18,36600.0,74.18
95,2009-10-19,77.2,78.86,76.77,78.5,39000.0,78.5
96,2009-10-20,79.01,79.01,76.54,77.6,27100.0,77.6
97,2009-10-21,76.85,79.57,76.52,76.52,20800.0,76.52
98,2009-10-22,76.49,78.0,75.5,77.9,18200.0,77.9
99,2009-10-23,80.61,80.74,77.39,78.22,56600.0,78.22
100,2009-10-26,79.48,80.67,76.52,76.86,69700.0,76.86
101,2009-10-27,77.59,78.59,76.37,76.46,48300.0,76.46
102,2009-10-28,74.07,74.28,70.0,70.73,84300.0,70.73
103,2009-10-29,72.09,74.72,72.09,73.89,52200.0,73.89
104,2009-10-30,73.55,73.65,68.25,68.93,72500.0,68.93
105,2009-11-02,72.0,73.98,70.46,72.16,61600.0,72.16
106,2009-11-03,69.36,72.1,69.36,71.72,48000.0,71.72
107,2009-11-04,75.27,76.41,73.67,74.17,59800.0,74.17
108,2009-11-05,75.17,77.32,75.17,77.29,30400.0,77.29
109,2009-11-06,76.11,78.13,75.62,77.04,50100.0,77.04
110,2009-11-09,80.5,82.85,80.5,82.74,72200.0,82.74
111,2009-11-10,80.92,81.68,80.56,81.39,49200.0,81.39
112,2009-11-11,82.39,82.91,81.18,81.8,40800.0,81.8
113,2009-11-12,80.79,81.31,78.23,78.64,59800.0,78.64
114,2009-11-13,80.66,82.25,79.93,81.44,41600.0,81.44
115,2009-11-16,83.77,85.93,83.72,85.0,58300.0,85.0
116,2009-11-17,84.0,84.87,82.9,84.48,42300.0,84.48
117,2009-11-18,83.48,83.75,81.69,82.44,39600.0,82.44
118,2009-11-19,80.03,80.16,77.61,78.71,74900.0,78.71
119,2009-11-20,77.55,78.62,77.43,78.52,37300.0,78.52
120,2009-11-23,82.62,83.38,81.63,82.14,46900.0,82.14
121,2009-11-24,79.62,80.2,78.39,80.2,59100.0,80.2
122,2009-11-25,80.64,81.08,79.83,80.62,58000.0,80.62
123,2009-11-27,71.73,74.86,70.34,73.52,143800.0,73.52
124,2009-11-30,74.88,75.75,73.89,75.28,66200.0,75.28
125,2009-12-01,78.72,80.27,78.6,79.3,41600.0,79.3
126,2009-12-02,79.83,80.83,79.33,79.72,11200.0,79.72
127,2009-12-03,80.07,80.81,78.49,78.7,29700.0,78.7
128,2009-12-04,81.76,82.89,79.08,80.89,35600.0,80.89
129,2009-12-07,78.97,80.06,78.63,78.67,28400.0,78.67
130,2009-12-08,75.96,76.31,74.5,75.12,48700.0,75.12
131,2009-12-09,74.55,75.09,73.41,74.77,24300.0,74.77
132,2009-12-10,74.72,75.15,74.3,74.48,14800.0,74.48
133,2009-12-11,75.18,75.32,73.92,74.75,19100.0,74.75
134,2009-12-14,75.46,75.96,75.0,75.33,20400.0,75.33
135,2009-12-15,73.79,75.01,73.35,73.77,38300.0,73.77
136,2009-12-16,73.13,73.79,72.55,72.81,33700.0,72.81
137,2009-12-17,70.08,70.23,68.75,68.87,72400.0,68.87
